"","sim","n_samples","h2","prop_effect","S","flb","mse","rmse","rel_mse","method"
"45",45,30000,0.3,0.01,-1,0.958549222797927,-0.00172191478678012,-0.0332657107250293,-0.952677804085907,"EB"
"46",46,30000,0.3,0.01,-1,0.942457231726283,-0.00182319602917238,-0.0346146624758218,-0.957206148454015,"EB"
"47",47,30000,0.3,0.01,-1,0.934563758389262,-0.00181492033616442,-0.0340695014907172,-0.951667089717614,"EB"
"48",48,30000,0.3,0.01,-1,0.954237288135593,-0.00180958787060957,-0.0338387068172728,-0.949415435417922,"EB"
"49",49,30000,0.3,0.01,-1,0.944532488114105,-0.00176227092959667,-0.0340325866384955,-0.957220010110377,"EB"
"50",50,30000,0.3,0.01,-1,0.936728395061728,-0.00197766932769613,-0.0348423770598633,-0.942748448009597,"EB"
"51",51,30000,0.3,0.01,-1,0.953968253968254,-0.00186022783333478,-0.034711832740726,-0.954290990253683,"EB"
"52",52,30000,0.3,0.01,-1,0.943639291465378,-0.00194112997168202,-0.0351186345754343,-0.950283718465529,"EB"
"53",53,30000,0.3,0.01,-1,0.945723684210526,-0.0018373094787286,-0.0338945262285026,-0.946844526454064,"EB"
"54",54,30000,0.3,0.01,-1,0.948073701842546,-0.00175565796057717,-0.0335637317593142,-0.952352149218912,"EB"
"55",55,30000,0.3,0.01,-1,0.945364238410596,-0.00186730585343297,-0.0347863719258557,-0.95439140936853,"EB"
"56",56,30000,0.3,0.01,-1,0.946273830155979,-0.00177005937752058,-0.0336355113634788,-0.951538985053596,"EB"
"57",57,30000,0.3,0.01,-1,0.95447409733124,-0.00183648688630583,-0.0341775600721029,-0.95051456525511,"EB"
"58",58,30000,0.3,0.01,-1,0.929411764705882,-0.00192958534311806,-0.0346586704630124,-0.945877062524617,"EB"
"59",59,30000,0.3,0.01,-1,0.940032414910859,-0.00165459612751974,-0.0319910665617379,-0.944453004758312,"EB"
"60",60,30000,0.3,0.01,-1,0.957860615883306,-0.00191419126183103,-0.0352184628131652,-0.954369184728362,"EB"
"61",61,30000,0.3,0.01,-1,0.943048576214405,-0.00196539565701528,-0.0359089304585769,-0.95687185603498,"EB"
"62",62,30000,0.3,0.01,-1,0.949447077409163,-0.00190698141810022,-0.0356726649854027,-0.960183677783859,"EB"
"63",63,30000,0.3,0.01,-1,0.954113924050633,-0.0018586541250755,-0.0350108725550544,-0.95789683132126,"EB"
"64",64,30000,0.3,0.01,-1,0.953074433656958,-0.00190172983283905,-0.0357108460265047,-0.961116874571026,"EB"
"65",65,30000,0.3,0.01,-1,0.939759036144578,-0.0017717415562935,-0.0338989315638179,-0.954564361163902,"EB"
"66",66,30000,0.3,0.01,-1,0.958263772954925,-0.00164361364425751,-0.0315865649596848,-0.940201482919956,"EB"
"67",67,30000,0.3,0.01,-1,0.938411669367909,-0.00175869958718447,-0.0332405359138152,-0.947879271412521,"EB"
"68",68,30000,0.3,0.01,-1,0.940860215053763,-0.00170631222620852,-0.0330152445925685,-0.95142427651103,"EB"
"69",69,30000,0.3,0.01,-1,0.946456692913386,-0.00189957391785422,-0.0351716009767057,-0.955383890587242,"EB"
"70",70,30000,0.3,0.01,-1,0.942675159235669,-0.00199922766712558,-0.0347008163519033,-0.93839621689494,"EB"
"71",71,30000,0.3,0.01,-1,0.957746478873239,-0.00193470522338826,-0.0355674919871134,-0.956199958755889,"EB"
"72",72,30000,0.3,0.01,-1,0.935,-0.00161286039155287,-0.0311079964537527,-0.937497870710907,"EB"
"73",73,30000,0.3,0.01,-1,0.936378466557912,-0.00177083848525377,-0.0330990463683171,-0.944497370178929,"EB"
"74",74,30000,0.3,0.01,-1,0.948717948717949,-0.00187797044415375,-0.0344468444526893,-0.949101456463064,"EB"
"75",75,30000,0.3,0.01,-1,0.945364238410596,-0.00185062486854815,-0.0344170461231047,-0.951837880357753,"EB"
"76",76,30000,0.3,0.01,-1,0.925076452599388,-0.00162321239368489,-0.0303188308111213,-0.923331143391995,"EB"
"77",77,30000,0.3,0.01,-1,0.954144620811287,-0.00180831357991867,-0.0349842981213797,-0.962853402117758,"EB"
"78",78,30000,0.3,0.01,-1,0.935749588138385,-0.0018288463388105,-0.0342255702297607,-0.951979856713147,"EB"
"79",79,30000,0.3,0.01,-1,0.92822966507177,-0.00165179406817348,-0.0314379265692678,-0.936851291345654,"EB"
"80",80,30000,0.3,0.01,-1,0.938610662358643,-0.00165901103882838,-0.0318820969670468,-0.942323199507495,"EB"
"81",81,30000,0.3,0.01,-1,0.956661316211878,-0.0015807405554486,-0.0311727762547238,-0.943074481371724,"EB"
"82",82,30000,0.3,0.01,-1,0.940972222222222,-0.00169302775707511,-0.0329455735255847,-0.952174650710695,"EB"
"83",83,30000,0.3,0.01,-1,0.937299035369775,-0.00175357310700412,-0.033321825885329,-0.949555902421364,"EB"
"84",84,30000,0.3,0.01,-1,0.958483754512635,-0.00210708170273697,-0.0381438509719289,-0.966482643354633,"EB"
"85",85,30000,0.3,0.01,-1,0.954471544715447,-0.00182042848272409,-0.0345262619842907,-0.956491573677106,"EB"
"86",86,30000,0.3,0.01,-1,0.922928709055877,-0.00169983339672335,-0.0317259845340867,-0.934376151690678,"EB"
"87",87,30000,0.3,0.01,-1,0.943485086342229,-0.00187469878230825,-0.0350147243888327,-0.956236007188721,"EB"
"88",88,30000,0.3,0.01,-1,0.945945945945946,-0.00189264400995021,-0.0344706905133795,-0.947723035909304,"EB"
"89",89,30000,0.3,0.01,-1,0.957191780821918,-0.00176167927942978,-0.0334610023793942,-0.95034732962964,"EB"
"90",90,30000,0.3,0.01,-1,0.933333333333333,-0.00161285831393126,-0.0309686151056483,-0.935377853537673,"EB"
"91",91,30000,0.3,0.01,-1,0.949324324324324,-0.00180485306127027,-0.0342777145862891,-0.955315928182714,"EB"
"92",92,30000,0.3,0.01,-1,0.937597503900156,-0.00175096550276169,-0.033031007870919,-0.946082734006303,"EB"
"93",93,30000,0.3,0.01,-1,0.950155763239875,-0.00187561558478291,-0.0347987277066713,-0.953628295168772,"EB"
"94",94,30000,0.3,0.01,-1,0.949263502454992,-0.00184988378270912,-0.034857944670234,-0.957102259457704,"EB"
"95",95,30000,0.3,0.01,-1,0.946540880503145,-0.00190291918595403,-0.0351240378483969,-0.954478530598095,"EB"
"96",96,30000,0.3,0.01,-1,0.933753943217666,-0.001745705561201,-0.0332608506890396,-0.949733531311051,"EB"
"97",97,30000,0.3,0.01,-1,0.940418679549114,-0.00174496705797855,-0.0333011893125968,-0.950338166241574,"EB"
"98",98,30000,0.3,0.01,-1,0.940099833610649,-0.00202408371462419,-0.0372898048005617,-0.965574166269933,"EB"
"99",99,30000,0.3,0.01,-1,0.946624803767661,-0.00184216071180463,-0.0344729900614011,-0.953461478162924,"EB"
"100",100,30000,0.3,0.01,-1,0.95253164556962,-0.0017946695961739,-0.0345159569419469,-0.959176772714426,"EB"
"101",1,3e+05,0.3,0.01,-1,0.600755667506297,-2.03591766546392e-05,-0.00160810625009687,-0.400006136819969,"EB"
"102",2,3e+05,0.3,0.01,-1,0.60300093779306,-2.165892847586e-05,-0.00173208906710646,-0.427449023272594,"EB"
"103",3,3e+05,0.3,0.01,-1,0.60929648241206,-2.06308035799344e-05,-0.00166433115570374,-0.417440081204093,"EB"
"104",4,3e+05,0.3,0.01,-1,0.610746641674477,-1.95272850823392e-05,-0.0016056655474921,-0.412110268353217,"EB"
"105",5,3e+05,0.3,0.01,-1,0.608831819605387,-2.00858614893501e-05,-0.00155931024080991,-0.385285359553661,"EB"
"106",6,3e+05,0.3,0.01,-1,0.594216417910448,-2.20764296747474e-05,-0.00172852728680361,-0.419983625166564,"EB"
"107",7,3e+05,0.3,0.01,-1,0.582075471698113,-1.65972693935544e-05,-0.00139072536281664,-0.373906969064525,"EB"
"108",8,3e+05,0.3,0.01,-1,0.59225373589509,-2.04538710587603e-05,-0.00160857218320208,-0.398749185942173,"EB"
"109",9,3e+05,0.3,0.01,-1,0.594932749452612,-1.74304802463005e-05,-0.00142375139319115,-0.373302961375931,"EB"
"110",10,3e+05,0.3,0.01,-1,0.586077140169332,-2.02992798637998e-05,-0.00157568757677734,-0.388413605896878,"EB"
"111",11,3e+05,0.3,0.01,-1,0.578795643818065,-1.82815267035465e-05,-0.00148195734849094,-0.38298386621968,"EB"
"112",12,3e+05,0.3,0.01,-1,0.604443073125579,-1.92046120822204e-05,-0.00156670785977321,-0.401936391514473,"EB"
"113",13,3e+05,0.3,0.01,-1,0.592223650385604,-2.03700712091135e-05,-0.00161104055080073,-0.400970855606872,"EB"
"114",14,3e+05,0.3,0.01,-1,0.58871730223763,-1.88358453818576e-05,-0.00153778112294537,-0.396403237218318,"EB"
"115",15,3e+05,0.3,0.01,-1,0.60593621724029,-1.72032961974031e-05,-0.00140358432410774,-0.368767717972019,"EB"
"116",16,3e+05,0.3,0.01,-1,0.606879606879607,-1.9460741220474e-05,-0.001610691549159,-0.41517128446429,"EB"
"117",17,3e+05,0.3,0.01,-1,0.597488226059655,-2.06869122650166e-05,-0.0016553680800754,-0.413148031180447,"EB"
"118",18,3e+05,0.3,0.01,-1,0.606552357624005,-1.90862232630308e-05,-0.00153651909683213,-0.391848498696324,"EB"
"119",19,3e+05,0.3,0.01,-1,0.591109709962169,-1.81869986427412e-05,-0.00152331811076123,-0.40139960016444,"EB"
"120",20,3e+05,0.3,0.01,-1,0.592848180677541,-1.85966905751823e-05,-0.00153289593171251,-0.398381997503757,"EB"
"121",21,3e+05,0.3,0.01,-1,0.592793367346939,-2.10584596492754e-05,-0.00167609265136039,-0.415393611540141,"EB"
"122",22,3e+05,0.3,0.01,-1,0.592109449570474,-1.80100527538318e-05,-0.00142013930102102,-0.362252714714459,"EB"
"123",23,3e+05,0.3,0.01,-1,0.58414903694348,-1.77872073019735e-05,-0.00146925896510259,-0.386060981101172,"EB"
"124",24,3e+05,0.3,0.01,-1,0.60192966075319,-2.1156448780385e-05,-0.00168069138007507,-0.415659670407755,"EB"
"125",25,3e+05,0.3,0.01,-1,0.59672435105068,-2.04013087644525e-05,-0.00164020446845897,-0.411724510812488,"EB"
"126",26,3e+05,0.3,0.01,-1,0.594117647058824,-1.91115079769605e-05,-0.00155074281988639,-0.39709906861729,"EB"
"127",27,3e+05,0.3,0.01,-1,0.598345003182686,-1.81834485873666e-05,-0.00149629992130102,-0.390446566880457,"EB"
"128",28,3e+05,0.3,0.01,-1,0.599749843652283,-2.13409029017299e-05,-0.00169931183331151,-0.419917146944281,"EB"
"129",29,3e+05,0.3,0.01,-1,0.61,-1.72292391867447e-05,-0.00144189226949924,-0.384329728944302,"EB"
"130",30,3e+05,0.3,0.01,-1,0.6,-1.91839811846204e-05,-0.00155214259277445,-0.39648873585923,"EB"
"131",31,3e+05,0.3,0.01,-1,0.590226764611945,-1.84752758403347e-05,-0.00145407548340208,-0.368577252787353,"EB"
"132",32,3e+05,0.3,0.01,-1,0.591054313099042,-1.85965122728824e-05,-0.00151929629890703,-0.392903157217323,"EB"
"133",33,3e+05,0.3,0.01,-1,0.603808929128942,-1.95793612635266e-05,-0.00157089798941566,-0.397605381261927,"EB"
"134",34,3e+05,0.3,0.01,-1,0.597607052896725,-1.77392727868891e-05,-0.00145594218840968,-0.381388456651445,"EB"
"135",35,3e+05,0.3,0.01,-1,0.608856088560886,-2.10923332850081e-05,-0.00169807674960342,-0.423207258865637,"EB"
"136",36,3e+05,0.3,0.01,-1,0.60837664322837,-2.34319461792404e-05,-0.00179529284500133,-0.425187847339605,"EB"
"137",37,3e+05,0.3,0.01,-1,0.602568117757595,-1.79279340532539e-05,-0.00148009619796207,-0.388126949823644,"EB"
"138",38,3e+05,0.3,0.01,-1,0.61171032357473,-2.02243036508374e-05,-0.00167152701362772,-0.426592918295216,"EB"
"139",39,3e+05,0.3,0.01,-1,0.596953348143446,-2.1448220627471e-05,-0.00171254828281682,-0.423284509078571,"EB"
"140",40,3e+05,0.3,0.01,-1,0.596977329974811,-1.75787246537138e-05,-0.00143591629856686,-0.375834787109926,"EB"
"141",41,3e+05,0.3,0.01,-1,0.604914933837429,-2.15566149762496e-05,-0.00173892630870951,-0.431541140227689,"EB"
"142",42,3e+05,0.3,0.01,-1,0.605295950155763,-2.00757809598758e-05,-0.0016026208796187,-0.402236096751102,"EB"
"143",43,3e+05,0.3,0.01,-1,0.595758151313707,-1.98697254754552e-05,-0.00158949313190251,-0.400331677652145,"EB"
"144",44,3e+05,0.3,0.01,-1,0.589799749687109,-2.03748909995647e-05,-0.00163095241857543,-0.408568919595788,"EB"
"145",45,3e+05,0.3,0.01,-1,0.588403041825095,-1.88674918502175e-05,-0.00152582836861456,-0.391104035524862,"EB"
"146",46,3e+05,0.3,0.01,-1,0.615337234370188,-2.24868695666194e-05,-0.00175398642517539,-0.423454083260309,"EB"
"147",47,3e+05,0.3,0.01,-1,0.578512396694215,-2.10817003028289e-05,-0.00167020258295674,-0.412812296136942,"EB"
"148",48,3e+05,0.3,0.01,-1,0.598798608915586,-2.12458521138045e-05,-0.00168803393604226,-0.417091588388781,"EB"
"149",49,3e+05,0.3,0.01,-1,0.605546995377504,-1.9078383139023e-05,-0.00154778846620431,-0.396458347683214,"EB"
"150",50,3e+05,0.3,0.01,-1,0.604942133249922,-1.81610981391717e-05,-0.00141830313949497,-0.359097964231716,"EB"
"151",51,3e+05,0.3,0.01,-1,0.590432098765432,-2.00116137613277e-05,-0.00157767759948468,-0.393538586337541,"EB"
"152",52,3e+05,0.3,0.01,-1,0.586996904024768,-2.04872655497853e-05,-0.0016314948111334,-0.407051517783403,"EB"
"153",53,3e+05,0.3,0.01,-1,0.573400250941029,-1.95352789019315e-05,-0.00152779934659885,-0.381361226188343,"EB"
"154",54,3e+05,0.3,0.01,-1,0.601353429713934,-2.09480839320308e-05,-0.00167082281027546,-0.415062440351429,"EB"
"155",55,3e+05,0.3,0.01,-1,0.592740695170717,-1.71203186809788e-05,-0.00140595017075076,-0.371176724409768,"EB"
"156",56,3e+05,0.3,0.01,-1,0.598611549384664,-2.08906986286549e-05,-0.00162142040370109,-0.397137196222962,"EB"
"157",57,3e+05,0.3,0.01,-1,0.602031394275162,-2.19955726813177e-05,-0.00173311717943309,-0.422859936739042,"EB"
"158",58,3e+05,0.3,0.01,-1,0.598388596219399,-1.96281666206243e-05,-0.00160417455318549,-0.409898822204079,"EB"
"159",59,3e+05,0.3,0.01,-1,0.598233995584989,-1.96218955417134e-05,-0.00156169070229469,-0.393323172028132,"EB"
"160",60,3e+05,0.3,0.01,-1,0.605213567839196,-2.00614384488261e-05,-0.001616086514888,-0.407686780256606,"EB"
"161",61,3e+05,0.3,0.01,-1,0.595215311004785,-2.13636163309141e-05,-0.0016917794032213,-0.416743028455612,"EB"
"162",62,3e+05,0.3,0.01,-1,0.589236003711723,-1.86994412620638e-05,-0.00151561473104844,-0.389736636913841,"EB"
"163",63,3e+05,0.3,0.01,-1,0.596978106691335,-2.12368929647148e-05,-0.00168643423545197,-0.416622226142931,"EB"
"164",64,3e+05,0.3,0.01,-1,0.596557120500782,-1.89302615324126e-05,-0.00152637953072872,-0.390311393989249,"EB"
"165",65,3e+05,0.3,0.01,-1,0.591734502191609,-1.88125655082905e-05,-0.00151426264298941,-0.387361811192698,"EB"
"166",66,3e+05,0.3,0.01,-1,0.596100278551532,-1.84452733155701e-05,-0.00151233757720095,-0.392592330371253,"EB"
"167",67,3e+05,0.3,0.01,-1,0.606164383561644,-2.06669836663423e-05,-0.00162369344857426,-0.401335820271181,"EB"
"168",68,3e+05,0.3,0.01,-1,0.594425305355465,-1.92060523761056e-05,-0.00157343960319115,-0.404584281535034,"EB"
"169",69,3e+05,0.3,0.01,-1,0.601791782514674,-2.20698654347229e-05,-0.00176158212727669,-0.432308961263957,"EB"
"170",70,3e+05,0.3,0.01,-1,0.600248292985723,-2.10225062332991e-05,-0.00164322547028139,-0.403469493892108,"EB"
"171",71,3e+05,0.3,0.01,-1,0.59514294497387,-1.95902371178224e-05,-0.00158982795926448,-0.404870824319259,"EB"
"172",72,3e+05,0.3,0.01,-1,0.603583778685948,-1.80832551543496e-05,-0.00145409718236803,-0.374905335295046,"EB"
"173",73,3e+05,0.3,0.01,-1,0.587417009168511,-1.82350226727222e-05,-0.00146198622937912,-0.375636121373042,"EB"
"174",74,3e+05,0.3,0.01,-1,0.585868187579214,-1.79849370937119e-05,-0.00144474660871236,-0.372701412380872,"EB"
"175",75,3e+05,0.3,0.01,-1,0.602973056673893,-1.82238390099489e-05,-0.00147984059872939,-0.383074656946681,"EB"
"176",76,3e+05,0.3,0.01,-1,0.597047062442325,-1.93761271655622e-05,-0.00154829298794193,-0.391907178769242,"EB"
"177",77,3e+05,0.3,0.01,-1,0.59785691774346,-2.30364477540524e-05,-0.00181511635551506,-0.437871418673955,"EB"
"178",78,3e+05,0.3,0.01,-1,0.588326606643899,-1.97965052578817e-05,-0.00156907991788238,-0.393501322279047,"EB"
"179",79,3e+05,0.3,0.01,-1,0.586538461538462,-2.29418342012276e-05,-0.00178903809150654,-0.429767284587907,"EB"
"180",80,3e+05,0.3,0.01,-1,0.604419545596016,-1.94894116964757e-05,-0.00152085005205131,-0.379335113129234,"EB"
"181",81,3e+05,0.3,0.01,-1,0.592501536570375,-1.79279903666732e-05,-0.00144207415600635,-0.372544516548968,"EB"
"182",82,3e+05,0.3,0.01,-1,0.586272040302267,-2.04752535131374e-05,-0.0016403884597776,-0.410653750375909,"EB"
"183",83,3e+05,0.3,0.01,-1,0.588123815540114,-1.5855865942095e-05,-0.00132479355232309,-0.358906315919786,"EB"
"184",84,3e+05,0.3,0.01,-1,0.594884748973792,-2.20723386866258e-05,-0.00174579287663075,-0.426432171134464,"EB"
"185",85,3e+05,0.3,0.01,-1,0.606516290726817,-1.8428219910721e-05,-0.00151105104098054,-0.392354594843668,"EB"
"186",86,3e+05,0.3,0.01,-1,0.608430054978619,-2.08527655647227e-05,-0.0016715906593738,-0.416804234398173,"EB"
"187",87,3e+05,0.3,0.01,-1,0.577200125274037,-1.970417068491e-05,-0.00159425780528346,-0.404797741900182,"EB"
"188",88,3e+05,0.3,0.01,-1,0.587222048230504,-2.10226041777766e-05,-0.00169393237741624,-0.422700953986361,"EB"
"189",89,3e+05,0.3,0.01,-1,0.59629057187017,-2.36443819419077e-05,-0.00186646862500149,-0.447704030259883,"EB"
"190",90,3e+05,0.3,0.01,-1,0.587702871410737,-2.2125776357721e-05,-0.00171718130671024,-0.415075085660782,"EB"
"191",91,3e+05,0.3,0.01,-1,0.604238080398878,-2.41769552394084e-05,-0.00188157632600537,-0.445660263030688,"EB"
"192",92,3e+05,0.3,0.01,-1,0.587996248827759,-2.05980274652458e-05,-0.0016140668473659,-0.398686401131792,"EB"
"193",93,3e+05,0.3,0.01,-1,0.610991710162726,-2.06801651592964e-05,-0.00164089827419863,-0.40771724779438,"EB"
"194",94,3e+05,0.3,0.01,-1,0.605352199323285,-2.07583602277565e-05,-0.00164047596731604,-0.406372962841077,"EB"
"195",95,3e+05,0.3,0.01,-1,0.606779661016949,-2.00149152832745e-05,-0.00162078778263528,-0.410243336523048,"EB"
"196",96,3e+05,0.3,0.01,-1,0.607812003810734,-2.23400728984909e-05,-0.00176259923427422,-0.428730509529883,"EB"
"197",97,3e+05,0.3,0.01,-1,0.598075729360646,-1.74066108060276e-05,-0.00142436132637033,-0.373961485103494,"EB"
"198",98,3e+05,0.3,0.01,-1,0.610094637223975,-2.03089905214863e-05,-0.00157803456433271,-0.389173050968255,"EB"
"199",99,3e+05,0.3,0.01,-1,0.595502058916693,-1.83586414453967e-05,-0.00150184451221442,-0.389778980545342,"EB"
"200",100,3e+05,0.3,0.01,-1,0.591989987484355,-2.24431025559202e-05,-0.00179158776337584,-0.437871306832521,"EB"
"201",1,30000,0.8,0.01,-1,0.746858168761221,-0.0008151161096957,-0.0158725046627594,-0.721437657454427,"EB"
"202",2,30000,0.8,0.01,-1,0.745265151515151,-0.000907056993717873,-0.0174211594618078,-0.751416099125083,"EB"
"203",3,30000,0.8,0.01,-1,0.758620689655172,-0.0008539107619218,-0.0173400782675059,-0.770406071369447,"EB"
"204",4,30000,0.8,0.01,-1,0.765118317265557,-0.000922630746394786,-0.0176853578752106,-0.756307795337877,"EB"
"205",5,30000,0.8,0.01,-1,0.758426966292135,-0.000929077811701495,-0.0178809130514551,-0.761907589578332,"EB"
"206",6,30000,0.8,0.01,-1,0.752136752136752,-0.00099640321507131,-0.0189926002295976,-0.780595662285562,"EB"
"207",7,30000,0.8,0.01,-1,0.747252747252747,-0.000948343924348917,-0.0181506521138767,-0.765404987326086,"EB"
"208",8,30000,0.8,0.01,-1,0.744142455482662,-0.000874716558872785,-0.0167822856900428,-0.736957058049696,"EB"
"209",9,30000,0.8,0.01,-1,0.737891737891738,-0.000851901752884949,-0.0164023401952113,-0.729621375683449,"EB"
"210",10,30000,0.8,0.01,-1,0.751127141568981,-0.000879014124866569,-0.0173930841167955,-0.761933310069045,"EB"
"211",11,30000,0.8,0.01,-1,0.752951861943688,-0.000799888985469718,-0.0157767331263813,-0.724007783055189,"EB"
"212",12,30000,0.8,0.01,-1,0.778889899909008,-0.00090497776499141,-0.0178395461287395,-0.769930037792848,"EB"
"213",13,30000,0.8,0.01,-1,0.766197183098592,-0.000858238878288851,-0.0169566460590689,-0.751892366497815,"EB"
"214",14,30000,0.8,0.01,-1,0.765976597659766,-0.000893819848528641,-0.0172121076205195,-0.747873827206892,"EB"
"215",15,30000,0.8,0.01,-1,0.78644382544104,-0.000915675225741784,-0.0177767501558668,-0.762965186143231,"EB"
"216",16,30000,0.8,0.01,-1,0.746268656716418,-0.000947697121778954,-0.0176608247293342,-0.745220739860849,"EB"
"217",17,30000,0.8,0.01,-1,0.749767441860465,-0.000879211194679724,-0.0172315802386539,-0.75489481472317,"EB"
"218",18,30000,0.8,0.01,-1,0.75417439703154,-0.000842066810017855,-0.0165743755616221,-0.741904791303945,"EB"
"219",19,30000,0.8,0.01,-1,0.760180995475113,-0.000874997090295054,-0.0168258835973208,-0.738796195324335,"EB"
"220",20,30000,0.8,0.01,-1,0.754005655042413,-0.000952054264414129,-0.018187491378756,-0.765460726497062,"EB"
"221",21,30000,0.8,0.01,-1,0.773566569484937,-0.000838552448795844,-0.0160534362712937,-0.719274944261702,"EB"
"222",22,30000,0.8,0.01,-1,0.772052401746725,-0.000956732855260342,-0.0185490713826482,-0.778167994003551,"EB"
